Station,Exp_R2,Exp_Bias,Exp_RMSE,Exp_Corr,RF_R2,RF_Bias,RF_RMSE,RF_Corr,LSTM_R2,LSTM_Bias,LSTM_RMSE,LSTM_Corr
US-Ne1,0.1777,-0.0057,0.0287,0.6028,0.4002,-0.0036,0.0370,0.6678,0.1354,0.0016,0.0444,0.5620
US-Ne2,0.5118,-0.0025,0.0267,0.7297,0.6868,-0.0026,0.0197,0.8363,0.5644,-0.0002,0.0232,0.7741
US-Ne3,0.8142,-0.0030,0.0213,0.9116,0.7177,0.0046,0.0271,0.8556,0.8434,0.0002,0.0202,0.9205
Average,0.5012,-0.0038,0.0256,0.7480,0.6015,-0.0005,0.0279,0.7865,0.5144,0.0005,0.0293,0.7522
